text,label
when I see this you give me a inspired and hope to us for family! I know you will be the first family in the future! We will win! #Ipana7oNa10ParaSaLahat  #KulayRosasAngBukas #Naga #NagaIsPink #10RobredoForPresident MANANALO TAYO #AbanteBabae,Favor
the most qualified for the job is a woman #DapatSiLeni #LetLeniLead #AbanteBabae,Favor
we women let's stand together and show to them that we are capable of leading  and making this country better for the young and future generation  VP Leni Robredo is one of the best e.g of women capable of leading  #KulayRosasAngBukas #LetLeniLead #AbanteBabae,Favor
Leni-Kiko leading in the trending profile pic frame in twibbonize. Other runners-up frames are mostly pink also.  Good indicator. Good news!!!  #LeniRobredoForPresident #LeniLiwanagSaDilim #KulayRosasAngBukas #LeniKikoAllTheWay2022  #AbanteBabae,Favor
the last man standing is a woman #abantebabae,Favor
use your voice and your vote on May 9  #TheFutureIsFemale #PHVote #WeDecide,Favor
"i want to be a decent, transparent, and accountable government! My name is Jana Althea Legreso and Leni Robredo is my president!  #LabanLeni2022  #LetLeniLead  #AbanteBabae",Favor
the future is female #AbanteBabae #letleniwin,Favor
#13 for Mommy and #10 for my President Leni #AbanteBabae,Favor
fuck the patriarchy #AbanteBabae  #LeniForPresident2022,Favor
woman can lead! #AbanteBabae,Favor
i support women #AbanteBabae,Favor
"Leni robredo is the one who stand up while those men in government is degrading her, trying to impeach her just to serve the filipinos so please vote wisely  #KulayRosasAngBukas  #LetLeniKikoLead2022 #AbanteBabae  #WomenCanLead""",Favor
they're looking down at leni because she's a woman as if they don't have wives or sisters,Favor
i support women #AbanteBabae,Favor
"leni robredo is the one who stand up while those men in government is degrading her, trying to impeach her just to serve the filipinos so please vote wisely  #KulayRosasAngBukas  #LetLeniKikoLead2022 #AbanteBabae  #WomenCanLead",Favor
we need good governance for the sake of our children’s future  #LetLeniKikoLead  #AbanteBabae  #Ipana10NatinParaSaLahat,Favor
win or lose I will never regret supporting vp Leni Robredo.  reasons that I've considered why vp Leni is my ultimate choice  #AbanteBabae #LeniKiko2022 #LeniIsMyUltimateChoice #kakampinks,Favor
so proud of my  #KakampINC friends who chose VP Leni Robredo and stand for the betterment  of the country and the Filipino people  #LeniKikoAllTheWay2022  #AbanteBabae  #Ipana10NatinParaSaLahat,Favor
it is a pity if you are a woman but do not believe that women can lead.   #AbanteBabae #LeniKikoAllTheWay2022,Favor
Salute to all INC members who choose VP Leni Robredo  and stand for the betterment of the country and the Filipino People 🇵🇭🇵🇭 #KakampINC #LeniKikoAllTheWay2022 #abantebabae,Favor
"We are risking the 6 years of our life in this election. Please vote for the right and for truth, vote wisely for the future of your children and all the youth.  #KulayRosasAngBukas #AbanteBabae #LeniLiwanagSaDilim #Eleksyon2022",Favor
It would be such a shame if you are a woman and you think that women aren’t capable of leading.  #AbanteBabae #LeniRobredo #LeniLiwanagSaDilim  #LeniForPresident2022  #LeniKikoAllTheWay2022,Favor
"I don’t agree with the church on most things, but this time, I really hope people believe in their faith more than fake news. I hope they are more loyal to their religion than they are to a political candidate. #LeniKiko2022 Push! #BBMSaraUNITEAM #KulayRosaAngBukas #AbanteBabae",Favor
Use your voice and your vote on May 9  #TheFutureIsFemale #PHVote #WeDecide,Favor
"Whether she wins or loses, remember you supported the right cause. That's MORAL INTEGRITY. You won't regret it in your lifetime",Favor
wanna cry. you're so precious Justice Leonen #AbanteBabae,Favor
"“Your Honor, they are all WOMEN”  GOOSEBUMPS!!!!  #Abogada  #AbanteBabae",Favor
"I'm equally proud of myself as a first time voter and for making my first vote count!! Unang ambag for the nation!!!! Pls motherland, let it be Leni!!!!!  #LabanLeni2022  #LetLeniKikoLead  #AbanteBabae",Favor
She is the president we need!  #LeniKikoAllTheWay2022 #AbanteBabae,Favor
she said #AbanteBabae and that made me love her even more!,Favor
more about vp leni !  #KulayRosasAngBukas #LabanLeni2022  #LetLeniLead  #AbanteBabae,Favor
"What si wrong with filipinos, and why are they choosing a corrupt man over a qualified woman to lead this country?  #LeniForPresident2022 #letlenilead #lenikiko2022 #abantebabae",Favor
"When others say women are too weak...  REMEMBER what Justice @marvicleonen said!  “Your Honor, they are all WOMEN”  #BestBarEver20_21 #AbanteBabae  #Pagbati",Favor
"We can’t choose our relatives but we don’t have to be apologists for the horrors they inflict — unless, of course, you took part in it and remain a true believer in tyranny - like the son, widow and other children of the dictator",Favor
“Women are too weak and emotional to be leaders” - Mr. Rodrigo Duterte  I don’t know about you but I’ve never seen My President cry even in the darkest situations  #LeniRobredoForPresident #LeniLiwanagSaDilim #KulayRosasAngBukas #LeniKikoAllTheWay2022  #AbanteBabae,Favor
This is my 1st family. A mother who raised 3 strong women who has a heart for serving a country just like her and inspires us to be better.  #IpanloNa10ParaSaLahat  #AbanteBabae #LeniKikoAllTheWay2022,Favor
