text,label
Met some undecided while shopping earlier in SM. Converted them because of unemployment insurance platform of VP Leni:) Excited for tomorrow's celebration! #PasayIsPink #AngatBuhayLahat  #LeniKikoAllTheWay  #HappyBirthdayPresidentLeni,Favor
I am voting #LeniRobredo for president.  Why ? #AngatBuhayLahat #IpanloNa10ToParaSaLahat,Favor
Happy birthday to our next president VP @lenirobredo! Looking forward to the next six years with you leading us. #LetLeniLead2022 #KulayRosasAngBukas #AngatBuhayLahat #IpanaloNa10To,Favor
"I entrust my vote to you, @lenirobredo and @kikopangilinan!  #GobyernongTapat #AngatBuhayLahat",Favor
"Happy birthday to our VP @lenirobredo, soon to be President of the Republic of the Philippines.   #IpanloNa10ToParaSaLahat #LeniLiwanagSaDilim  #AngatBuhayLahat  #LeniKiko2022",Favor
"17 days until May 9,  please Lord, let her win  #LeniForPresident2022 #AngatBuhayLahat #LetLeniLead #LeniLiwanagSaDilim",Favor
"IT’S A STATEMENT.   “BAI, LET LENI LEAD”  Thanks Bai Hotel  #CebuIsPink  #CEBOOM  #AngatBuhayLahat  #IpanloNa10ToParaSaLahat #LetLeniLead",Favor
"If you are for #LeniForPresident, please vote for #KikoForVicePresident as well. We need them both para talagang #GobyernongTapat #AngatBuhayLahat",Favor
"Crowd estimates of BbM vs VP Leni is incomparable why? BbM has massive support from LGUs thus, he has all the machineries &amp; access to services of ahemmm (which taxpayers cry foul) VP Leni no or scarce support  frm LGU but venue is full #AngatBuhayLahat #LeniRobredo",Favor
Happy birthday to our VP @lenirobredo. I hope and pray that our God will grant your prayers. We wish you good health and safety always. May the Lord give you the Presidency as a late birthday gift.  #LetLeniLead2022  #LeniForPresident2022   #AngatBuhayLahat  #HBDPresidentLeni,Favor
Anything is possible when you have the right people there to support you. @lenirobredo    #IpanaloNa10To #LeniKikoAllTheWay #AngatBuhayLahat #PasayIsPink #NCRSouthisPink  #HBDPresidentLeni #LeniRobredo #PasaySabaySabay,Favor
"Happy Birthday, VP @lenirobredo!!! Really praying for you to become our 17th President. 2016 pa po yung picture natin nung ikaw po ang guest speaker namin sa school.   #LetLeniLead #LeniKiko2022 #AngatBuhayLahat #LeniRobredoForPresident #HBDPresidentLeni",Favor
"HAPPY BIRTHDAY, MY PRESIDENT! MAY GOD'S FAVOR BE UPON YOU   #LetLeniLead  #LeniKiko2022  #AngatBuhayLahat",Favor
Happy Birthday VP Leni Robredo! @lenirobredo Thank you for being the light in the darkness! Thank you for bringing Hope and for giving your ALL!!!  #PasayIsPink #ArawNa10to #10LeniRobredoPresident #LetLeniLead #AngatBuhayLahat #LeniForPresident2022,Favor
Happy Birthday po to the next President of the Philippines @lenirobredo I-claim natin yan #AngatBuhayLahat  #LeniForPresident2022  #LeniKiko2022,Favor
"When I cast my vote for Leni, Kiko and my chosen senators, I do so not just for myself or my family. I'm voting with hope for a better future for EVERYONE.  #AngatBuhayLahat  #ParaSaLahat",Favor
Why Leni? Because she’s the most qualified!  #CebuIsPink  #UbanTangLeniUgKiko  #AngatBuhayLahat #CEBOOM #1CebuMinusOne,Favor
Another Bicolana declaring support for VP Leni so proud of you Patty aka Mama Mary   #IpanaloNaNa10To #IpanaloNa10ParaSaLahat #10RobredoForPresident #LeniKikoAllTheWay #LeniKiko2022 #AngatBuhayLahat #KulayRosasAngBukas #Oragon,Favor
I LVE CEBU! #LetLeniLead #LeniKiko2022 #LeniForPresident2022 #ceboom #AngatBuhayLahat #volunteerism #TropangAngat @Yescppicache,Favor
My name is Arbie and I am for Leni-Kiko.   #LeniKikoAllTheWay  #IpanaloNa10ParaSaLahat #AngatBuhayLahat,Favor
THIS IS GOOD! #AngatBuhayLahat #LeniKiko2022,Favor
"“Our idol wants world domination. This cannot be achieved by SB19 and fans alone,” Dimacali said. “We need a government that will also give their full support to achieve this.”  PPOP Stans for Leni-Kiko featured on @VICE!",Favor
For years I've been observing our politics and never once was I moved to tears. This election is all on a different level. Hilak here and there for me. @lenirobredo thanks for bringing us hope. Daogon nato ni ma'am!   #CEBOOM  #AngatBuhayLahat,Favor
"@aethanbrix @lenirobredo Thank you for your time, energy, talent, resources and everything! Para sa #KulayaRosasAngBukas at #AngatBuhayLahat!",Favor
"When you vote #LeniKiko2022, you are voting for proven track record &amp; principles, good &amp; clean governance, #AngatBuhayLahat, a promising future. When you vote Unithieves, you are just voting. And, wasting your vote. Duh!  #LeniKikoAllTheWay2022 #cebuisPink2 #Kakampink",Favor
THINKING VOTERS WILL ALWAYS VOTE FOR LENI ROBREDO AND KIKO PANGILINAN. #AngatBuhayLahat #MarcosMagnanakaw,Favor
So excited to see our future President Leni Robredo and Vice President Kiko Pangilinan here at Dumguete City...  #10RobredoForPresident #AngatBuhayLahat #NegrosIsPink,Favor
