text,label
"@USER so glad that the ruling class doesn't get the covid. i'm not going to where a mask because i want to be like them!
#nomaskforme #maga 🍔⛳💰🇺🇲",Favor
at the #demconvention last night @USER  lectured &amp; criticized @USER's behavior in the oval office. #hypocrite #epsteinisland #pedogate2020 HTTP,None
"@USER i just wish the corrupt #democrats stfu!!!!🤬
#trump2020nowmorethanever #americafirst #maga 
great again HTTP",Favor
why is @USER famous? wow another cringe-worthy musical number at the #demconvention.,None
@USER it’s genius. the #democrats fall for it every time! #maga,Favor
@USER biden alone can fix it! #gop #trumpsamerica,Against
the other swing voter  #2020elections #donaldtrump #blackvoters #blacklivesmatter #defeatingtrump #resistingtrump #swingvoters #joebiden #non-voters #voterturnout #gotv #getoutthevote #votersuppression #leftpolitics HTTP,Against
ken lane made the trip from south carolina to support @USER. #rnc2020 HTTP,None
"#rnc2020 ...so far...
fear mongering, frowning hate filled face spewing division and lies.",Against
"@USER @USER yes, and lou holtz's was pre-taped in 1860....goodbye coach #rnc2020",None
"@USER @USER where does ""doing 'the wave' with castro"" rate?
potus obama took the fam to cuba and partied with raúl, fidel's brother &amp; successor; what does one think happened to people castro didn't want obama &amp; the world to see? #demdebate HTTP
HTTP",None
"caused mass incarceration against african americans, and has been in politics for 40 years. why didn’t he do something to cut a slice off institutional racism when he was vp? do nothing democrats #trump2020 #wakeupamerica #hidenbiden #",Favor
@USER i live in the suburbs &amp; i'd take #antifa / #blm as neighbors over #maga ppl. 🤷‍♀️you &amp; all your racists followers can go inhabit a deserted island. it would be interesting to see how long all you anti-intellectual's would last. 🤣,Against
"@USER @USER no more debates, trump is a moron &amp; cannot stop talking over everyone. ridiculous &amp; absurd. 

#debates2020 #bidenharrislandslide2020 #meltdown #americaortrump #liarinchief #bidenvstrump #trumpmeltdown #adderall #taxreturns @USER #covid19  #presidentialdebate2020 #shutupman",Against
"gen z has been left to clean up cesspools of radical far left corruption in our institutions, our media, and indoctrinated into the minds of our peers. 

we need young conservative leaders to speak up to defend our nation's principles and to stop fearing the mob. #conservative",None
"@USER @USER your watching way to much rachel maddow.  biden is a china puppet,  putin hates president trump for building worlds strongest energy independent nation,  self sufficient,  also trying to wean europe from russian oil, 
any hope for you hater/dividers",Favor
@USER is a charter member of the pathetic cowards for trump  #maga HTTP,Against
"@USER with ya.  (but dammit, i'll vote for him if i have to.)

#votebluetosaveamerica",Against
@USER god help us if trump doesn’t win 🇺🇸 #trump2020,Favor
"i’m just gonna say this: if trump wins i’m gonna put a lot of blame on white-leftist who don’t really care about what happen to minorities, but they just want to keep their “principles and values” and refuse to support biden.",Against
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER following all patriots #kag...thank you very much brian @USER 🙏🏻🇺🇸👍🏻,None
"@USER a must read by china expert ""how china took over while elites slept""! trump/pompeo must keep chipping away at china tentacles in u.s.! call covid what it was--biowarfare!! china deliberately man-made &amp; released it to help biden get elected &amp; revenge for tariffs!! HTTP",None
