index,text,label,target
5,what is the big difference of the BBM-SARA Tandem and the UNITEAM from all of the other Aspirants?  They did not only topped the surveys and got the people's vote but they also have the people HEART.   This team has indeed preserved their UNITY. No one is left behind #BBMSARA2022,1,bongbong
933,"Ngayong araw, matagumpay nating naisumite sa COMELEC ang ating petition to #DisqualifyMarcos.   Just because Bongbong was able to run in the past, that doesn’t mean he gets to do it again. Tuloy lang ang laban!",0,bongbong
89,"Truth be told, BBM is neither perfect nor holy just like the rest of us. And the good thing is he never projects a holier-than-thou image. What matters is, he is very professional and competent to lead this nation. #BBMIsMyPresident2022",1,bongbong
115,"I have confirmed that I am on the Certified List of Overseas Voters here in the United Kingdom and I am ready to cast my vote!  My President @bongbongmarcos , my vote is for you!!!  #BBMIsMyPresident2022  #BBMSARAH2022 #UniteamBBMSara2022  #Elections2022",1,bongbong
210,"Why shouldn't we support BBM?Because of the sins done during the Marcos time. Was BBM the President then? Such a stupid argument. Even IF it were true, The sins of the father is NOT that of his son. #BBMSARA2022 #BBMIsMyPresident2022",1,bongbong
920,@dtapec63 We would only be in trouble if we vote for them or there’d be another 7hr glitch… let’s not give them that power and vote wisely in #Halalan2022 #NoToBuwayasCorruptSELFSERVANTS #NoToMarcoses,0,bongbong
1027,"It doesn't matter if Marcos Jr. passes the hair follicle drug test or not. The dictator's son has been proven a murderer, far from a depressed addict. #DUTERTEMANYAK #DUTERTERAPIST #DUTERTEYAKUZA #OUSTDUTERTE #NoToMarcosDuterte2022 #LetLeniLead #LetLeniLead2022",0,bongbong
326,#BBMIsMyPresident2022 Together we stand for BBM,1,bongbong
749,"I’m sorry, I am unable to take anyone seriously as leader if their name is Marcos, and that’s before its compounded by being named Bongbong Marcos.",0,bongbong
201,@bongbongmarcos I'm not participating the 2022 elections though I'm just 15 years old . But I take time to learn get some research about the history of the Philippines and I can really say that the late President Ferdinand Marcos is the best president. We need a good and wise leader!,1,bongbong
140,"All the derisions he took in, never said nor done anything ill against them. Instead, his constant message is one of unity and hope. He seeks to make the Philippines great again. This is why BBM is my President. #BBMIsMyPresident2022 #LabanMarcosJr",1,bongbong
74,Do you remember when you joined Twitter? I do!   Me creating twitter because of BTS and now supporting BBM.    #MyTwitterAnniversary  #itsmyARMYversary  #BBMIsMyPresident2022 ,1,bongbong
