index,text,label,target
168,"@USER @USER so hogan, does this mean trump will stop fighting to eliminate pre-existing condition protection in court? i didn't think so. trump/gop need to go for the sake of america. #voteblue",Favor,biden
245,"@USER  is a clown

#bidenharris2020 #trump2020",None,trump
332,who else is sick to death of being shamed for supporting #trump i’m not taking any of it anymore! #trump2020  don’t like it unfollow!!,Favor,trump
844,"@USER @USER lol, the silent majority is silent no more #trump2020",Favor,trump
812,"@USER @USER 🙂🙂🙂🤣🤣🤣🤣🤣😭😭😭😭😭😭
😭😭😭🤪😆🤣🤣🤣🤣🤣🤣😭😭🤦‍♀️

oh, mikey!!!!

☺😆🤣😂🤣😂😭😭😭😭😭😹😹😹
🤪🤪🤪😂🤣😆🤣☺😭😭😭☺☺🤣

#trump2020
🇺🇸🇺🇸🇺🇸",Favor,trump
485,@USER @USER @USER @USER black voices for trump! we all proud boys! HTTP,Against,trump
162,"@USER say what, you hypocrites!! lockdown for everyone but you! businesses dying in your district! #democratsaredestroyingamerica #pelosimustgo #pelosiblowout #pelosi #democrat",Favor,trump
849,@USER i'm still trying to decide whether i vote for joe biden or chris wallace.,None,biden
109,"@USER @USER @USER uh, he’s a tow truck driver. not necessarily employed by the #usps, he’s allowed to express his wishes for the election process. if there is any stealing going on it’ll likely by dems, they have a history of it. #trump2020",Favor,trump
344,"@USER @USER @USER as much as possible i'm gonna get off my butt everyday up through november 2, to vote early and work to engage and encourage others to do the same. 

#postcardstovoters 
#volunteering for fed &amp; local democratic candidates

#votebluetosaveamerica 
&amp; #voteouthate",Favor,biden
518,if he says ‘binders of women’ we all take a shot #democraticdebate,None,biden
423,"@USER president trump’s favorability stayed flat after the rnc, as a majority of the country continues to view his handling of the covid-19 crisis negatively, a poll released sunday found. favorability among republicans dropped 4% since last week. 
#dumptrump 
HTTP",Against,trump
237,"together we will beat donald trump – #joebiden for president: official campaign website “kamala’s mother told her growing up “don’t sit around and complain about things, do something,” which is what drives #kamala every single day.” #vote #donate  HTTP",Favor,biden
137,@USER good sign! #voteblue HTTP,Against,trump
65,"@USER @USER @USER @USER @USER @USER @USER @USER @USER great list. every resistance voice matters.  please follow or follow me back.  #blm #voteblue #maskup btw, in order to keep my followers and following numbers balanced i give people a week to follow back. i want a conversation with other resisters not numbers",Against,trump
463,"if he dies this pos needs to ride the lighting.......... 
wake up people blm is a terrorist organization and needs to be dealt with as such. 

#trump2020 #maga #kag HTTP",Favor,trump
458,"@USER does this mean hunter and your brother and all biden family ties to global corruption and tax evasion, laundering and sex trafficking will be sorted out?",Against,biden
25,"i've all but lost half of my family due to ""differences"" of political opinion. on the bright side, i'm having a long-running conversation with a bright young colleague who lives in the bay area and for whom the lights are beginning to come on...

#alllivesmattter #trump2020",Favor,trump
73,@USER welcome to the family!  wise choice!  #trump2020 let us save our country from the self-destructive &amp; ever angry hateful empty democrats. HTTP,Against,biden
701,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER fantastic resisters!
for our kids, grandkids and beyond:

when our generation has passed,
i pray future ones see we amassed
blue waves of resistance
that we rode with persistence, 
to make sure trump's 1st term was his last!

#trumpisanationaldisgrace 
#votebluetosaveamerica",Against,trump
573,"🇼 🇴 🇼❗ when #trump gets rolling, the #lies come fast and furious, and it takes paragraphs to detail them. read this fact-check of his #rnc acceptance speech❗
(link)HTTP",None,biden
779,"breaking news:

biden was obama's vp

#demdebate
#democraticdebate",None,biden
117,there. is. no. comparison. between. the. compassion. of. joe. biden. and. the. lack. of. it. in. donald. trump. #demconvention,Against,trump
112,this is a blood bath. #democraticdebate,None,trump
716,"biden put on a good show of being ""presidential"" in his response to #covidー19, but only bernie has a real plan to address the deep systemic crisis the outbreak exposed.

HTTP
  
#demdebate",Favor,biden
359,"@USER thank you! without your whining tweet we wouldn't have known about this! classic! 😂😂😂😂 

#trump2020",Favor,trump
579,@USER alert!...eric trump's meeting on the golf cart with golf writer james dodson will become one of the most significant moments in u.s. history.,None,trump
